tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
T13-T15,Mon-Wed,31-45 Days (W4),11-30,11,30,,T13-T15,T12,$450 ,$403 ,$272 ,260,260,260,260,0,0,0
T13-T15,Mon-Wed,31-45 Days (W4),31-50,31,50,,T13-T15,T13,$469 ,$413 ,$281 ,275,275,275,275,0,0,0
T13-T15,Mon-Wed,31-45 Days (W4),51-100,51,100,,T16,T15,$488 ,$431 ,$319 ,303,303,303,303,0,0,0
T13-T15,Mon-Wed,22-30 Days (W3),0-10,0,10,,T10-T12,T10,$404 ,$367 ,$238 ,236,236,236,236,0,0,0
T13-T15,Mon-Wed,22-30 Days (W3),11-30,11,30,,T13-T15,T11,$422 ,$385 ,$257 ,254,254,254,254,0,0,0
T13-T15,Mon-Wed,22-30 Days (W3),31-50,31,50,,T13-T15,T12,$441 ,$395 ,$266 ,269,269,269,269,0,0,0
T13-T15,Mon-Wed,22-30 Days (W3),51-100,51,100,,T16,T13,$459 ,$404 ,$275 ,286,286,286,286,0,0,0
T13-T15,Mon-Wed,10-21 Days (W2),0-20,0,20,,T10-T12,T8,$350 ,$314 ,$220 ,226,226,226,226,0,0,0
T13-T15,Mon-Wed,10-21 Days (W2),21-30,21,30,,T10-T12,T10,$395 ,$359 ,$233 ,243,243,243,243,0,0,0
T13-T15,Mon-Wed,10-21 Days (W2),31-60,31,60,,T13-T15,T11,$413 ,$377 ,$251 ,253,253,253,253,0,0,0
T13-T15,Mon-Wed,10-21 Days (W2),61-100,61,100,,T16,T12,$431 ,$386 ,$260 ,270,270,270,270,0,0,0
T13-T15,Mon-Wed,0-9 Days (W1),0-30,0,30,0-1,T7-T9,T6,$307 ,$263 ,$202 ,216,216,216,216,0,0,0
T13-T15,Mon-Wed,0-9 Days (W1),0-30,0,30,2-3,T7-T9,T7,$325 ,$290 ,$210 ,223,223,223,223,0,0,0
T13-T15,Mon-Wed,0-9 Days (W1),0-30,0,30,4-6,T7-T9,T8,$342 ,$307 ,$215 ,231,231,231,231,0,0,0
T13-T15,Mon-Wed,0-9 Days (W1),0-30,0,30,7-9,T7-T9,T9,$360 ,$325 ,$221 ,238,238,238,238,0,0,0
T13-T15,Mon-Wed,0-9 Days (W1),31-60,31,60,,T13-T15,T10,$386 ,$351 ,$228 ,252,252,252,252,0,0,0
T13-T15,Mon-Wed,0-9 Days (W1),61-80,61,80,,T16,T11,$404 ,$369 ,$246 ,266,266,266,266,0,0,0
T13-T15,Mon-Wed,0-9 Days (W1),81-100,81,100,,T16,T12,$422 ,$378 ,$254 ,266,266,266,266,0,0,0
T1-T3,Thu-Sun,>120 Days (W7),0-20,0,20,,T1-T3,T2,$329 ,$269 ,$229 ,209,182,193,198,0,0,0
T1-T3,Thu-Sun,>120 Days (W7),21-30,21,30,,T4-T6,T3,$349 ,$289 ,$239 ,229,200,211,217,0,0,0
T1-T3,Thu-Sun,>120 Days (W7),31-50,31,50,,T4-T6,T5,$399 ,$349 ,$269 ,328,286,303,311,0,0,0
T1-T3,Thu-Sun,>120 Days (W7),51-100,51,100,,T7-T9,T8,$499 ,$429 ,$309 ,363,316,336,344,0,0,0
T1-T3,Thu-Sun,60-120 Days (W6),0-20,0,20,,T1-T3,T2,$322 ,$264 ,$224 ,205,178,189,194,0,0,0
T1-T3,Thu-Sun,60-120 Days (W6),21-30,21,30,,T4-T6,T3,$342 ,$283 ,$234 ,224,196,207,213,0,0,0
T1-T3,Thu-Sun,60-120 Days (W6),31-50,31,50,,T4-T6,T5,$391 ,$342 ,$264 ,295,256,272,279,0,0,0
T1-T3,Thu-Sun,60-120 Days (W6),51-100,51,100,,T7-T9,T8,$489 ,$420 ,$303 ,344,299,317,326,0,0,0
T1-T3,Thu-Sun,46-59 Days (W5),0-10,0,10,,T1-T3,T2,$316 ,$258 ,$220 ,201,175,185,190,0,0,0
T1-T3,Thu-Sun,46-59 Days (W5),11-30,11,30,,T1-T3,T3,$335 ,$277 ,$229 ,220,192,203,209,0,0,0
T1-T3,Thu-Sun,46-59 Days (W5),31-50,31,50,,T4-T6,T5,$383 ,$335 ,$258 ,262,227,241,248,0,0,0
T1-T3,Thu-Sun,46-59 Days (W5),51-100,51,100,,T7-T9,T8,$479 ,$412 ,$297 ,324,282,299,307,0,0,0
T1-T3,Thu-Sun,31-45 Days (W4),0-10,0,10,,T1-T3,T1,$272 ,$234 ,$196 ,196,171,181,186,0,0,0
T1-T3,Thu-Sun,31-45 Days (W4),11-30,11,30,,T1-T3,T3,$328 ,$272 ,$225 ,215,188,198,204,0,0,0
T1-T3,Thu-Sun,31-45 Days (W4),31-50,31,50,,T4-T6,T5,$375 ,$328 ,$253 ,229,199,211,217,0,0,0
T1-T3,Thu-Sun,31-45 Days (W4),51-100,51,100,,T7-T9,T8,$469 ,$403 ,$290 ,291,252,268,275,0,0,0
T1-T3,Thu-Sun,22-30 Days (W3),0-10,0,10,,T0,T0,$247 ,$211 ,$165 ,192,167,178,182,0,0,0
T1-T3,Thu-Sun,22-30 Days (W3),11-30,11,30,,T1-T3,T2,$303 ,$247 ,$211 ,211,184,194,200,0,0,0
T1-T3,Thu-Sun,22-30 Days (W3),31-50,31,50,,T4-T6,T5,$367 ,$321 ,$247 ,224,195,207,213,0,0,0
T1-T3,Thu-Sun,22-30 Days (W3),51-100,51,100,,T7-T9,T7,$431 ,$367 ,$275 ,258,224,238,244,0,0,0
T1-T3,Thu-Sun,10-21 Days (W2),0-20,0,20,,T0,T0,$242 ,$206 ,$161 ,188,164,174,178,0,0,0
T1-T3,Thu-Sun,10-21 Days (W2),21-30,21,30,,T1-T3,T2,$296 ,$242 ,$206 ,206,180,190,196,0,0,0
T1-T3,Thu-Sun,10-21 Days (W2),31-60,31,60,,T1-T3,T4,$332 ,$278 ,$224 ,220,191,202,208,0,0,0
T1-T3,Thu-Sun,10-21 Days (W2),61-100,61,100,,T4-T6,T6,$395 ,$332 ,$251 ,252,219,233,239,0,0,0
T1-T3,Thu-Sun,0-9 Days (W1),0-30,0,30,,T0,T0,$237 ,$202 ,$158 ,184,160,170,174,0,0,0
T1-T3,Thu-Sun,0-9 Days (W1),31-60,31,60,,T1-T3,T2,$290 ,$237 ,$202 ,201,176,186,191,0,0,0
T1-T3,Thu-Sun,0-9 Days (W1),61-80,61,80,,T4-T6,T5,$351 ,$307 ,$237 ,215,186,198,203,0,0,0
T1-T3,Thu-Sun,0-9 Days (W1),81-100,81,100,,T4-T6,T7,$413 ,$351 ,$263 ,247,214,227,233,0,0,0
T4-T6,Thu-Sun,>120 Days (W7),0-20,0,20,,T4-T6,T4,$369 ,$309 ,$249 ,228,198,210,216,0,0,0
T4-T6,Thu-Sun,>120 Days (W7),21-30,21,30,,T7-T9,T6,$439 ,$369 ,$279 ,268,232,247,253,0,0,0
T4-T6,Thu-Sun,>120 Days (W7),31-50,31,50,,T7-T9,T8,$499 ,$429 ,$309 ,341,296,315,323,0,0,0
T4-T6,Thu-Sun,>120 Days (W7),51-100,51,100,,T10-T12,T10,$559 ,$479 ,$349 ,376,327,346,356,0,0,0
