tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7
T7-T9,Thu-Sun,34-61 Days (W3),34-50%,34,50,,,T10,$413,$455,$500,$550,$604,$666,$714
T7-T9,Thu-Sun,34-61 Days (W3),51-70%,51,70,,,T11,$468,$514,$565,$622,$684,$752,$808
T7-T9,Thu-Sun,34-61 Days (W3),70-100%,70,100,,,T13,$581,$639,$703,$773,$850,$935,"$1,005"
T7-T9,Fri-Sat,34-61 Days (W3),0-12%,0,12,,,T8,$387,$425,$468,$515,$565,$622,$668
T7-T9,Fri-Sat,34-61 Days (W3),13-33%,13,33,,,T9,$438,$482,$530,$582,$641,$705,$757
T7-T9,Fri-Sat,34-61 Days (W3),34-50%,34,50,,,T10,$496,$545,$599,$659,$726,$799,$858
T7-T9,Fri-Sat,34-61 Days (W3),51-70%,51,70,,,T11,$561,$616,$678,$746,$821,$903,$970
T7-T9,Fri-Sat,34-61 Days (W3),70-100%,70,100,,,T13,$697,$767,$844,$928,"$1,020","$1,123","$1,206"
T7-T9,Mon-Wed,62-99 Days (W4),0-28%,0,28,,,T9,$302,$331,$365,$401,$441,$485,$521
T7-T9,Mon-Wed,62-99 Days (W4),29-50%,29,50,,,T10,$341,$375,$413,$454,$500,$550,$590
T7-T9,Mon-Wed,62-99 Days (W4),50-100%,50,100,,,T12,$425,$467,$514,$566,$622,$685,$735
T7-T9,Thu-Sun,62-99 Days (W4),0-28%,0,28,,,T9,$362,$398,$438,$481,$529,$582,$625
T7-T9,Thu-Sun,62-99 Days (W4),29-50%,29,50,,,T10,$410,$451,$496,$545,$600,$660,$709
T7-T9,Thu-Sun,62-99 Days (W4),50-100%,50,100,,,T12,$510,$561,$617,$679,$747,$822,$883
T7-T9,Fri-Sat,62-99 Days (W4),0-28%,0,28,,,T9,$434,$477,$525,$577,$635,$699,$751
T7-T9,Fri-Sat,62-99 Days (W4),29-50%,29,50,,,T10,$492,$541,$595,$654,$720,$792,$851
T7-T9,Fri-Sat,62-99 Days (W4),50-100%,50,100,,,T12,$612,$673,$741,$815,$896,$986,"$1,060"
