tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_4
T5-T6,Mon-Wed,8-30 Days (W2),41-100%,41,100,,,T6,262,362,508
T5-T6,Thu-Sun,8-30 Days (W2),0-10%,0,10,,,T3,238,249,273
T5-T6,Thu-Sun,8-30 Days (W2),11-25%,11,25,,,T4,258,295,351
T5-T6,Thu-Sun,8-30 Days (W2),26-40%,26,40,,,T5,278,350,452
T5-T6,Thu-Sun,8-30 Days (W2),41-100%,41,100,,,T6,300,413,581
T5-T6,Fri-Sat,8-30 Days (W2),0-10%,0,10,,,T3,313,329,360
T5-T6,Fri-Sat,8-30 Days (W2),11-25%,11,25,,,T4,339,389,464
T5-T6,Fri-Sat,8-30 Days (W2),26-40%,26,40,,,T5,366,461,596
T5-T6,Fri-Sat,8-30 Days (W2),41-100%,41,100,,,T6,395,545,766
T5-T6,Mon-Wed,0-7 Days (W1),0-15%,0,15,0-1,,T0,128,151,165
T5-T6,Mon-Wed,0-7 Days (W1),0-15%,0,15,2-3,,T1,149,156,171
T5-T6,Mon-Wed,0-7 Days (W1),0-15%,0,15,4-7,,T2,172,181,197
T5-T6,Mon-Wed,0-7 Days (W1),16-30%,16,30,,,T3,209,220,241
T5-T6,Mon-Wed,0-7 Days (W1),31-50%,31,50,,,T4,226,260,310
T5-T6,Mon-Wed,0-7 Days (W1),51-100%,51,100,,,T5,245,308,398
T5-T6,Thu-Sun,0-7 Days (W1),0-15%,0,15,0-1,,T0,146,167,211
T5-T6,Thu-Sun,0-7 Days (W1),0-15%,0,15,2-3,,T1,171,179,196
T5-T6,Thu-Sun,0-7 Days (W1),0-15%,0,15,4-7,,T2,197,207,226
T5-T6,Thu-Sun,0-7 Days (W1),16-30%,16,30,,,T3,240,251,275
T5-T6,Thu-Sun,0-7 Days (W1),31-50%,31,50,,,T4,259,297,354
T5-T6,Thu-Sun,0-7 Days (W1),51-100%,51,100,,,T5,280,352,455
T5-T6,Fri-Sat,0-7 Days (W1),0-15%,0,15,0-1,,T0,192,215,257
T5-T6,Fri-Sat,0-7 Days (W1),0-15%,0,15,2-3,,T1,225,236,259
T5-T6,Fri-Sat,0-7 Days (W1),0-15%,0,15,4-7,,T2,259,272,298
T5-T6,Fri-Sat,0-7 Days (W1),16-30%,16,30,,,T3,316,332,363
T5-T6,Fri-Sat,0-7 Days (W1),31-50%,31,50,,,T4,341,392,467
T5-T6,Fri-Sat,0-7 Days (W1),51-100%,51,100,,,T5,368,464,600
